step,action,buy_price,sell_price,filled,position,cash,reward
72,2,105960.58,105960.63,"[('buy', np.float64(105960.58)), ('sell', np.float64(105960.63))]",4,-423745.6399999998,0.05000000000291038
73,1,105960.57,105960.62,"[('buy', np.float64(105960.57))]",5,-529706.2099999997,0.0
74,2,105960.58,105960.63,"[('sell', np.float64(105960.63))]",4,-423745.5799999997,0.05000000000291038
75,1,105960.57,105960.62,[],4,-423745.5799999997,0.0
76,2,105960.58,105960.63,[],4,-423745.5799999997,0.0
77,1,105960.57,105960.62,"[('buy', np.float64(105960.57))]",5,-529706.1499999997,0.0
78,2,105960.58,105960.63,[],5,-529706.1499999997,0.0
79,0,105960.56,105960.61,[],5,-529706.1499999997,0.0
80,0,105960.56,105960.61,"[('buy', np.float64(105960.56))]",6,-635666.7099999997,0.0
81,2,105960.58,105960.63,"[('buy', np.float64(105960.58))]",7,-741627.2899999997,0.0
82,2,105960.58,105960.63,[],7,-741627.2899999997,0.0
83,2,105960.58,105960.63,[],7,-741627.2899999997,0.0
84,0,105960.56,105960.61,[],7,-741627.2899999997,0.0
85,2,105960.58,105960.63,"[('sell', np.float64(105960.63))]",6,-635666.6599999997,0.05000000000291038
86,1,105960.57,105960.62,[],6,-635666.6599999997,0.0
87,1,105960.57,105960.62,"[('sell', np.float64(105960.62))]",5,-529706.0399999997,0.04999999998835847
88,2,105960.58,105960.63,[],5,-529706.0399999997,0.0
89,0,105960.56,105960.61,"[('sell', np.float64(105960.61))]",4,-423745.4299999997,0.05000000000291038
90,2,105960.58,105960.63,[],4,-423745.4299999997,0.0
91,2,105960.58,105960.63,"[('buy', np.float64(105960.58))]",5,-529706.0099999997,0.0
92,2,105960.58,105960.63,"[('sell', np.float64(105960.63))]",4,-423745.37999999966,0.05000000000291038
93,2,105960.58,105960.63,[],4,-423745.37999999966,0.0
94,2,105960.58,105960.63,"[('buy', np.float64(105960.58)), ('sell', np.float64(105960.63))]",4,-423745.3299999996,0.05000000000291038
95,2,105960.58,105960.63,"[('buy', np.float64(105960.58)), ('sell', np.float64(105960.63))]",4,-423745.27999999956,0.05000000000291038
96,2,105960.58,105960.63,"[('buy', np.float64(105960.58)), ('sell', np.float64(105960.63))]",4,-423745.2299999995,0.05000000000291038
97,2,105960.58,105960.63,"[('buy', np.float64(105960.58)), ('sell', np.float64(105960.63))]",4,-423745.17999999947,0.05000000000291038
98,2,105960.58,105960.63,"[('buy', np.float64(105960.58)), ('sell', np.float64(105960.63))]",4,-423745.1299999994,0.05000000000291038
99,2,105960.58,105960.63,[],4,-423745.1299999994,0.0
